,altitude,country,get_distance_from,iata,icao,latitude,longitude,name,set_airport_details
30,15,Australia,<bound method Entity.get_distance_from of <(YPAD) Adelaide Airport - Altitude: 15 - Latitude: -34.947392 - Longitude: 138.533417>>,ADL,YPAD,-34.947392,138.533417,Adelaide Airport,<bound method Airport.set_airport_details of <(YPAD) Adelaide Airport - Altitude: 15 - Latitude: -34.947392 - Longitude: 138.533417>>
31,44,Australia,<bound method Entity.get_distance_from of <(YPPF) Adelaide Parafield Airport - Altitude: 44 - Latitude: -34.793682 - Longitude: 138.635376>>,QBP,YPPF,-34.793682,138.635376,Adelaide Parafield Airport,<bound method Airport.set_airport_details of <(YPPF) Adelaide Parafield Airport - Altitude: 44 - Latitude: -34.793682 - Longitude: 138.635376>>
32,7,Yemen,<bound method Entity.get_distance_from of <(OYAA) Aden International Airport - Altitude: 7 - Latitude: 12.82954 - Longitude: 45.02879>>,ADE,OYAA,12.82954,45.02879,Aden International Airport,<bound method Airport.set_airport_details of <(OYAA) Aden International Airport - Altitude: 7 - Latitude: 12.82954 - Longitude: 45.02879>>
33,2216,Turkey,<bound method Entity.get_distance_from of <(LTCP) Adiyaman Airport - Altitude: 2216 - Latitude: 37.731361 - Longitude: 38.468929>>,ADF,LTCP,37.731361,38.468929,Adiyaman Airport,<bound method Airport.set_airport_details of <(LTCP) Adiyaman Airport - Altitude: 2216 - Latitude: 37.731361 - Longitude: 38.468929>>
34,919,Algeria,<bound method Entity.get_distance_from of <(DAUA) Adrar Airport - Altitude: 919 - Latitude: 27.83758 - Longitude: -0.18641>>,AZR,DAUA,27.83758,-0.18641,Adrar Airport,<bound method Airport.set_airport_details of <(DAUA) Adrar Airport - Altitude: 919 - Latitude: 27.83758 - Longitude: -0.18641>>
35,798,United States,<bound method Entity.get_distance_from of <(KADG) Adrian Lenawee County Airport - Altitude: 798 - Latitude: 41.86607 - Longitude: -84.078293>>,ADG,KADG,41.86607,-84.078293,Adrian Lenawee County Airport,<bound method Airport.set_airport_details of <(KADG) Adrian Lenawee County Airport - Altitude: 798 - Latitude: 41.86607 - Longitude: -84.078293>>
36,6221,United States,<bound method Entity.get_distance_from of <(KAFO) Afton Municipal Airport - Altitude: 6221 - Latitude: 42.711201 - Longitude: -110.942001>>,AFO,KAFO,42.711201,-110.942001,Afton Municipal Airport,<bound method Airport.set_airport_details of <(KAFO) Afton Municipal Airport - Altitude: 6221 - Latitude: 42.711201 - Longitude: -110.942001>>
37,1657,Niger,<bound method Entity.get_distance_from of <(DRZA) Agades Mano Dayak International Airport - Altitude: 1657 - Latitude: 16.96599 - Longitude: 8.000114>>,AJY,DRZA,16.96599,8.000114,Agades Mano Dayak International Airport,<bound method Airport.set_airport_details of <(DRZA) Agades Mano Dayak International Airport - Altitude: 1657 - Latitude: 16.96599 - Longitude: 8.000114>>
38,250,Morocco,<bound method Entity.get_distance_from of <(GMAD) Agadir Al Massira Airport - Altitude: 250 - Latitude: 30.324989 - Longitude: -9.41306>>,AGA,GMAD,30.324989,-9.41306,Agadir Al Massira Airport,<bound method Airport.set_airport_details of <(GMAD) Agadir Al Massira Airport - Altitude: 250 - Latitude: 30.324989 - Longitude: -9.41306>>
39,46,India,<bound method Entity.get_distance_from of <(VEAT) Agartala Airport - Altitude: 46 - Latitude: 23.886971 - Longitude: 91.240448>>,IXA,VEAT,23.886971,91.240448,Agartala Airport,<bound method Airport.set_airport_details of <(VEAT) Agartala Airport - Altitude: 46 - Latitude: 23.886971 - Longitude: 91.240448>>
40,14,India,<bound method Entity.get_distance_from of <(VOAT) Agatti Airport - Altitude: 14 - Latitude: 10.82365 - Longitude: 72.176041>>,AGX,VOAT,10.82365,72.176041,Agatti Airport,<bound method Airport.set_airport_details of <(VOAT) Agatti Airport - Altitude: 14 - Latitude: 10.82365 - Longitude: 72.176041>>
41,204,France,<bound method Entity.get_distance_from of <(LFBA) Agen La Garenne Airport - Altitude: 204 - Latitude: 44.174709 - Longitude: 0.590619>>,AGF,LFBA,44.174709,0.590619,Agen La Garenne Airport,<bound method Airport.set_airport_details of <(LFBA) Agen La Garenne Airport - Altitude: 204 - Latitude: 44.174709 - Longitude: 0.590619>>
42,88,Iran,<bound method Entity.get_distance_from of <(OIAG) Aghajari Airport - Altitude: 88 - Latitude: 30.7444 - Longitude: 49.6772>>,AKW,OIAG,30.7444,49.6772,Aghajari Airport,<bound method Airport.set_airport_details of <(OIAG) Aghajari Airport - Altitude: 88 - Latitude: 30.7444 - Longitude: 49.6772>>
43,551,India,<bound method Entity.get_distance_from of <(VIAG) Agra Airport - Altitude: 551 - Latitude: 27.15583 - Longitude: 77.960892>>,AGR,VIAG,27.15583,77.960892,Agra Airport,<bound method Airport.set_airport_details of <(VIAG) Agra Airport - Altitude: 551 - Latitude: 27.15583 - Longitude: 77.960892>>
44,5462,Turkey,<bound method Entity.get_distance_from of <(LTCO) Agri Airport - Altitude: 5462 - Latitude: 39.65456 - Longitude: 43.027149>>,AJI,LTCO,39.65456,43.027149,Agri Airport,<bound method Airport.set_airport_details of <(LTCO) Agri Airport - Altitude: 5462 - Latitude: 39.65456 - Longitude: 43.027149>>
45,1506,Brazil,<bound method Entity.get_distance_from of <(SWHP) Agua Boa Airport - Altitude: 1506 - Latitude: -14.019444 - Longitude: -52.152222>>,GGB,SWHP,-14.019444,-52.152222,Agua Boa Airport,<bound method Airport.set_airport_details of <(SWHP) Agua Boa Airport - Altitude: 1506 - Latitude: -14.019444 - Longitude: -52.152222>>
46,531,Colombia,<bound method Entity.get_distance_from of <(SKAG) Aguachica Hacaritama Airport - Altitude: 531 - Latitude: 8.246203 - Longitude: -73.579628>>,HAY,SKAG,8.246203,-73.579628,Aguachica Hacaritama Airport,<bound method Airport.set_airport_details of <(SKAG) Aguachica Hacaritama Airport - Altitude: 531 - Latitude: 8.246203 - Longitude: -73.579628>>
47,237,Puerto Rico,<bound method Entity.get_distance_from of <(TJBQ) Aguadilla Rafael Hernandez Airport - Altitude: 237 - Latitude: 18.49486 - Longitude: -67.129402>>,BQN,TJBQ,18.49486,-67.129402,Aguadilla Rafael Hernandez Airport,<bound method Airport.set_airport_details of <(TJBQ) Aguadilla Rafael Hernandez Airport - Altitude: 237 - Latitude: 18.49486 - Longitude: -67.129402>>
48,6112,Mexico,<bound method Entity.get_distance_from of <(MMAS) Aguascalientes International Airport - Altitude: 6112 - Latitude: 21.705549 - Longitude: -102.317001>>,AGU,MMAS,21.705549,-102.317001,Aguascalientes International Airport,<bound method Airport.set_airport_details of <(MMAS) Aguascalientes International Airport - Altitude: 6112 - Latitude: 21.705549 - Longitude: -102.317001>>
49,11,French Polynesia,<bound method Entity.get_distance_from of <(NTHE) Ahe Airport - Altitude: 11 - Latitude: -14.42759 - Longitude: -146.255981>>,AHE,NTHE,-14.42759,-146.255981,Ahe Airport,<bound method Airport.set_airport_details of <(NTHE) Ahe Airport - Altitude: 11 - Latitude: -14.42759 - Longitude: -146.255981>>
50,189,India,<bound method Entity.get_distance_from of <(VAAH) Ahmedabad International Airport - Altitude: 189 - Latitude: 23.07724 - Longitude: 72.634651>>,AMD,VAAH,23.07724,72.634651,Ahmedabad International Airport,<bound method Airport.set_airport_details of <(VAAH) Ahmedabad International Airport - Altitude: 189 - Latitude: 23.07724 - Longitude: 72.634651>>
51,66,Iran,<bound method Entity.get_distance_from of <(OIAW) Ahwaz International Airport - Altitude: 66 - Latitude: 31.337429 - Longitude: 48.761951>>,AWZ,OIAW,31.337429,48.761951,Ahwaz International Airport,<bound method Airport.set_airport_details of <(OIAW) Ahwaz International Airport - Altitude: 66 - Latitude: 31.337429 - Longitude: 48.761951>>
52,528,United States,<bound method Entity.get_distance_from of <(KAIK) Aiken Municipal Airport - Altitude: 528 - Latitude: 33.649399 - Longitude: -81.684998>>,AIK,KAIK,33.649399,-81.684998,Aiken Municipal Airport,<bound method Airport.set_airport_details of <(KAIK) Aiken Municipal Airport - Altitude: 528 - Latitude: 33.649399 - Longitude: -81.684998>>
53,176,Palau,<bound method Entity.get_distance_from of <(PTRO) Airai Roman Tmetuchl International Airport - Altitude: 176 - Latitude: 7.367303 - Longitude: 134.544205>>,ROR,PTRO,7.367303,134.544205,Airai Roman Tmetuchl International Airport,<bound method Airport.set_airport_details of <(PTRO) Airai Roman Tmetuchl International Airport - Altitude: 176 - Latitude: 7.367303 - Longitude: 134.544205>>
54,14,Cook Islands,<bound method Entity.get_distance_from of <(NCAI) Aitutaki Airport - Altitude: 14 - Latitude: -18.8309 - Longitude: -159.764008>>,AIT,NCAI,-18.8309,-159.764008,Aitutaki Airport,<bound method Airport.set_airport_details of <(NCAI) Aitutaki Airport - Altitude: 14 - Latitude: -18.8309 - Longitude: -159.764008>>
55,368,France,<bound method Entity.get_distance_from of <(LFMA) Aix-en-Provence Airport - Altitude: 368 - Latitude: 43.50528 - Longitude: 5.367222>>,QXB,LFMA,43.50528,5.367222,Aix-en-Provence Airport,<bound method Airport.set_airport_details of <(LFMA) Aix-en-Provence Airport - Altitude: 368 - Latitude: 43.50528 - Longitude: 5.367222>>
56,1001,India,<bound method Entity.get_distance_from of <(VELP) Aizawl Lengpui Airport - Altitude: 1001 - Latitude: 23.838442 - Longitude: 92.620361>>,AJL,VELP,23.838442,92.620361,Aizawl Lengpui Airport,<bound method Airport.set_airport_details of <(VELP) Aizawl Lengpui Airport - Altitude: 1001 - Latitude: 23.838442 - Longitude: 92.620361>>
57,16,France,<bound method Entity.get_distance_from of <(LFKJ) Ajaccio Napoleon Bonaparte Airport - Altitude: 16 - Latitude: 41.923882 - Longitude: 8.8025>>,AJA,LFKJ,41.923882,8.8025,Ajaccio Napoleon Bonaparte Airport,<bound method Airport.set_airport_details of <(LFKJ) Ajaccio Napoleon Bonaparte Airport - Altitude: 16 - Latitude: 41.923882 - Longitude: 8.8025>>
58,30,United States,<bound method Entity.get_distance_from of <(PFAK) Akiak Airport - Altitude: 30 - Latitude: 60.902901 - Longitude: -161.231003>>,AKI,PFAK,60.902901,-161.231003,Akiak Airport,<bound method Airport.set_airport_details of <(PFAK) Akiak Airport - Altitude: 30 - Latitude: 60.902901 - Longitude: -161.231003>>
59,313,Japan,<bound method Entity.get_distance_from of <(RJSK) Akita Airport - Altitude: 313 - Latitude: 39.615551 - Longitude: 140.218597>>,AXT,RJSK,39.615551,140.218597,Akita Airport,<bound method Airport.set_airport_details of <(RJSK) Akita Airport - Altitude: 313 - Latitude: 39.615551 - Longitude: 140.218597>>
60,23,Canada,<bound method Entity.get_distance_from of <(CYKD) Aklavik Airport - Altitude: 23 - Latitude: 68.223297 - Longitude: -135.005997>>,LAK,CYKD,68.223297,-135.005997,Aklavik Airport,<bound method Airport.set_airport_details of <(CYKD) Aklavik Airport - Altitude: 23 - Latitude: 68.223297 - Longitude: -135.005997>>
61,1225,United States,<bound method Entity.get_distance_from of <(KCAK) Akron Canton Airport - Altitude: 1225 - Latitude: 40.91608 - Longitude: -81.442101>>,CAK,KCAK,40.91608,-81.442101,Akron Canton Airport,<bound method Airport.set_airport_details of <(KCAK) Akron Canton Airport - Altitude: 1225 - Latitude: 40.91608 - Longitude: -81.442101>>
62,1067,United States,<bound method Entity.get_distance_from of <(KAKR) Akron Fulton International Airport - Altitude: 1067 - Latitude: 41.037498 - Longitude: -81.466904>>,AKC,KAKR,41.037498,-81.466904,Akron Fulton International Airport,<bound method Airport.set_airport_details of <(KAKR) Akron Fulton International Airport - Altitude: 1067 - Latitude: 41.037498 - Longitude: -81.466904>>
63,3816,China,<bound method Entity.get_distance_from of <(ZWAK) Aksu Airport - Altitude: 3816 - Latitude: 41.262501 - Longitude: 80.291664>>,AKU,ZWAK,41.262501,80.291664,Aksu Airport,<bound method Airport.set_airport_details of <(ZWAK) Aksu Airport - Altitude: 3816 - Latitude: 41.262501 - Longitude: 80.291664>>
64,73,Kazakhstan,<bound method Entity.get_distance_from of <(UATE) Aktau Airport - Altitude: 73 - Latitude: 43.86005 - Longitude: 51.091969>>,SCO,UATE,43.86005,51.091969,Aktau Airport,<bound method Airport.set_airport_details of <(UATE) Aktau Airport - Altitude: 73 - Latitude: 43.86005 - Longitude: 51.091969>>
65,11,Greece,<bound method Entity.get_distance_from of <(LGPZ) Aktion National Airport - Altitude: 11 - Latitude: 38.925461 - Longitude: 20.76531>>,PVK,LGPZ,38.925461,20.76531,Aktion National Airport,<bound method Airport.set_airport_details of <(LGPZ) Aktion National Airport - Altitude: 11 - Latitude: 38.925461 - Longitude: 20.76531>>
66,738,Kazakhstan,<bound method Entity.get_distance_from of <(UATT) Aktobe Airport - Altitude: 738 - Latitude: 50.245831 - Longitude: 57.206661>>,AKX,UATT,50.245831,57.206661,Aktobe Airport,<bound method Airport.set_airport_details of <(UATT) Aktobe Airport - Altitude: 738 - Latitude: 50.245831 - Longitude: 57.206661>>
67,75,Canada,<bound method Entity.get_distance_from of <(CYKO) Akulivik Airport - Altitude: 75 - Latitude: 60.818611 - Longitude: -78.148613>>,AKV,CYKO,60.818611,-78.148613,Akulivik Airport,<bound method Airport.set_airport_details of <(CYKO) Akulivik Airport - Altitude: 75 - Latitude: 60.818611 - Longitude: -78.148613>>
68,1100,Nigeria,<bound method Entity.get_distance_from of <(DNAK) Akure Airport - Altitude: 1100 - Latitude: 7.246739 - Longitude: 5.301008>>,AKR,DNAK,7.246739,5.301008,Akure Airport,<bound method Airport.set_airport_details of <(DNAK) Akure Airport - Altitude: 1100 - Latitude: 7.246739 - Longitude: 5.301008>>
69,6,Iceland,<bound method Entity.get_distance_from of <(BIAR) Akureyri Airport - Altitude: 6 - Latitude: 65.658607 - Longitude: -18.072201>>,AEY,BIAR,65.658607,-18.072201,Akureyri Airport,<bound method Airport.set_airport_details of <(BIAR) Akureyri Airport - Altitude: 6 - Latitude: 65.658607 - Longitude: -18.072201>>
70,869,United Arab Emirates,<bound method Entity.get_distance_from of <(OMAL) Al Ain International Airport - Altitude: 869 - Latitude: 24.26166 - Longitude: 55.609161>>,AAN,OMAL,24.26166,55.609161,Al Ain International Airport,<bound method Airport.set_airport_details of <(OMAL) Al Ain International Airport - Altitude: 869 - Latitude: 24.26166 - Longitude: 55.609161>>
71,95,Morocco,<bound method Entity.get_distance_from of <(GMTA) Al Hoceima Cherif Al Idrissi Airport - Altitude: 95 - Latitude: 35.177101 - Longitude: -3.83952>>,AHU,GMTA,35.177101,-3.83952,Al Hoceima Cherif Al Idrissi Airport,<bound method Airport.set_airport_details of <(GMTA) Al Hoceima Cherif Al Idrissi Airport - Altitude: 95 - Latitude: 35.177101 - Longitude: -3.83952>>
72,108,Iraq,<bound method Entity.get_distance_from of <(ORNI) Al Najaf International Airport - Altitude: 108 - Latitude: 31.991667 - Longitude: 44.404167>>,NJF,ORNI,31.991667,44.404167,Al Najaf International Airport,<bound method Airport.set_airport_details of <(ORNI) Al Najaf International Airport - Altitude: 108 - Latitude: 31.991667 - Longitude: 44.404167>>
73,130,Qatar,<bound method Entity.get_distance_from of <(OTBH) Al Udeid Air Base - Altitude: 130 - Latitude: 25.114941 - Longitude: 51.316105>>,XJD,OTBH,25.114941,51.316105,Al Udeid Air Base,<bound method Airport.set_airport_details of <(OTBH) Al Udeid Air Base - Altitude: 130 - Latitude: 25.114941 - Longitude: 51.316105>>
74,2017,Saudi Arabia,<bound method Entity.get_distance_from of <(OEAO) Al Ula  Airport - Altitude: 2017 - Latitude: 26.480862 - Longitude: 38.116653>>,ULH,OEAO,26.480862,38.116653,Al Ula  Airport,<bound method Airport.set_airport_details of <(OEAO) Al Ula  Airport - Altitude: 2017 - Latitude: 26.480862 - Longitude: 38.116653>>
75,66,Saudi Arabia,<bound method Entity.get_distance_from of <(OEWJ) Al Wajh Airport - Altitude: 66 - Latitude: 26.198334 - Longitude: 36.476112>>,EJH,OEWJ,26.198334,36.476112,Al Wajh Airport,<bound method Airport.set_airport_details of <(OEWJ) Al Wajh Airport - Altitude: 66 - Latitude: 26.198334 - Longitude: 36.476112>>
76,5486,Saudi Arabia,<bound method Entity.get_distance_from of <(OEBA) Al-Baha Domestic Airport - Altitude: 5486 - Latitude: 20.296129 - Longitude: 41.63427>>,ABT,OEBA,20.296129,41.63427,Al-Baha Domestic Airport,<bound method Airport.set_airport_details of <(OEBA) Al-Baha Domestic Airport - Altitude: 5486 - Latitude: 20.296129 - Longitude: 41.63427>>
77,1480,Syria,<bound method Entity.get_distance_from of <(OSKL) Al-Qamishli Airport - Altitude: 1480 - Latitude: 37.031025 - Longitude: 41.205559>>,KAC,OSKL,37.031025,41.205559,Al-Qamishli Airport,<bound method Airport.set_airport_details of <(OSKL) Al-Qamishli Airport - Altitude: 1480 - Latitude: 37.031025 - Longitude: 41.205559>>
78,2126,Saudi Arabia,<bound method Entity.get_distance_from of <(OEGS) Al-Qassim International Airport - Altitude: 2126 - Latitude: 26.30282 - Longitude: 43.773911>>,ELQ,OEGS,26.30282,43.773911,Al-Qassim International Airport,<bound method Airport.set_airport_details of <(OEGS) Al-Qassim International Airport - Altitude: 2126 - Latitude: 26.30282 - Longitude: 43.773911>>
